"공사규모별(1)","공사기간별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"공사규모별(1)","공사기간별(1)",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"공사규모별(1)","공사기간별(1)",건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건)
"5,000만~1억원 미만","3개월~6개월미만",11646,1369,635,492,369,328,362,277,48,2198,613,647,616,650,824,1112,785,321
"5,000만~1억원 미만","6개월~9개월미만",4224,522,209,124,149,79,128,84,16,1143,168,179,215,222,225,353,281,127
"5,000만~1억원 미만","9개월~12개월미만",2447,407,98,63,82,47,39,81,2,778,79,100,104,117,107,142,144,57
"5,000만~1억원 미만","12개월~15개월미만",2200,574,131,61,76,67,55,14,3,530,68,55,63,65,130,105,124,79
"5,000만~1억원 미만","15개월~18개월미만",856,182,49,27,31,21,19,6,-,206,25,38,18,26,75,63,39,31
"5,000만~1억원 미만","18개월~21개월미만",387,85,15,16,15,16,9,2,-,106,12,19,13,13,19,31,12,4
"5,000만~1억원 미만","21개월~24개월미만",227,52,15,1,6,3,1,-,1,98,3,11,5,5,5,9,10,2
"5,000만~1억원 미만","24개월이상",284,82,3,2,6,3,2,2,2,132,2,7,2,7,23,4,3,2
"1억~3억원 미만","계",58244,13135,3364,2316,2421,2000,1952,1295,150,11277,1809,2352,2612,2391,3273,3183,3306,1408
"1억~3억원 미만","1개월미만",5487,1835,266,199,191,190,166,110,14,935,143,169,211,149,335,241,232,101
"1억~3억원 미만","1개월~3개월미만",20834,5235,1164,812,858,669,749,535,54,3905,602,757,956,891,1096,1023,1192,336
"1억~3억원 미만","3개월~6개월미만",14724,2308,905,672,580,490,517,335,40,2695,600,738,817,696,909,1027,938,457
"1억~3억원 미만","6개월~9개월미만",6225,1115,410,251,255,195,223,119,20,1224,188,272,298,272,353,425,380,225
"1억~3억원 미만","9개월~12개월미만",3737,782,194,138,209,148,99,118,12,761,78,159,142,143,221,196,235,102
"1억~3억원 미만","12개월~15개월미만",3327,881,230,130,165,138,91,34,5,709,95,101,80,111,161,128,169,99
"1억~3억원 미만","15개월~18개월미만",2016,469,106,78,93,88,56,23,1,483,66,82,55,81,113,72,95,55
"1억~3억원 미만","18개월~21개월미만",915,225,49,24,44,45,33,8,-,230,17,28,26,35,37,50,40,24
"1억~3억원 미만","21개월~24개월미만",498,148,21,7,11,24,11,9,3,156,14,15,10,10,23,12,16,8
"1억~3억원 미만","24개월이상",481,137,19,5,15,13,7,4,1,179,6,31,17,3,25,9,9,1
"3억~5억원 미만","계",16741,4357,1030,665,731,600,527,366,46,3449,384,634,604,631,835,786,767,329
"3억~5억원 미만","1개월미만",1085,310,57,52,36,27,28,24,2,215,25,39,43,34,70,49,47,27
"3억~5억원 미만","1개월~3개월미만",3174,1072,179,111,129,81,110,114,7,560,56,100,115,105,167,140,102,26
"3억~5억원 미만","3개월~6개월미만",4249,940,254,177,207,145,131,106,10,864,111,188,176,183,198,230,233,96
"3억~5억원 미만","6개월~9개월미만",2677,570,181,126,122,116,88,46,12,536,65,99,103,122,131,147,138,75
"3억~5억원 미만","9개월~12개월미만",1914,440,115,78,73,65,56,42,5,411,46,71,62,94,100,105,108,43
"3억~5억원 미만","12개월~15개월미만",1380,383,96,48,55,61,48,13,4,320,27,45,38,40,62,55,61,24
"3억~5억원 미만","15개월~18개월미만",1053,289,68,34,55,39,37,6,2,246,30,49,37,26,42,29,41,23
"3억~5억원 미만","18개월~21개월미만",598,163,32,17,41,29,14,9,2,149,15,25,12,12,30,18,22,8
"3억~5억원 미만","21개월~24개월미만",338,110,25,17,8,20,5,4,2,82,3,8,8,10,14,6,9,7
"3억~5억원 미만","24개월이상",273,80,23,5,5,17,10,2,-,66,6,10,10,5,21,7,6,-
"5억~10억원 미만","계",15119,4288,938,557,697,544,448,318,55,3300,283,495,483,526,716,606,589,276
"5억~10억원 미만","1개월미만",798,228,59,34,24,22,29,20,4,174,12,27,37,18,52,22,21,15
"5억~10억원 미만","1개월~3개월미만",1481,587,73,38,55,29,39,54,2,272,25,35,54,34,70,55,44,15
"5억~10억원 미만","3개월~6개월미만",3039,803,168,109,152,94,92,91,5,658,62,107,106,119,141,148,136,48
"5억~10억원 미만","6개월~9개월미만",2680,673,190,91,132,79,96,42,17,567,54,93,85,110,134,121,130,66
"5억~10억원 미만","9개월~12개월미만",2311,624,137,98,95,82,64,64,10,479,45,65,50,99,121,109,113,56
"5억~10억원 미만","12개월~15개월미만",1619,498,113,58,73,59,41,15,6,386,20,49,38,53,67,51,63,29
"5억~10억원 미만","15개월~18개월미만",1251,350,69,53,83,63,32,10,3,293,29,45,31,44,50,37,38,21
"5억~10억원 미만","18개월~21개월미만",925,254,57,43,43,60,30,9,6,217,7,34,31,29,37,28,20,20
"5억~10억원 미만","21개월~24개월미만",542,142,42,29,23,27,13,5,-,136,15,25,19,10,20,16,15,5
"5억~10억원 미만","24개월이상",473,129,30,4,17,29,12,8,2,118,14,15,32,10,24,19,9,1
"10억~15억원 미만","계",5646,1907,303,188,298,212,173,127,16,1280,68,139,160,149,223,167,183,53
"10억~15억원 미만","1개월미만",239,76,14,7,12,8,8,5,-,54,7,5,8,6,14,7,6,2
"10억~15억원 미만","1개월~3개월미만",258,162,3,6,1,4,6,8,-,37,2,1,7,3,9,5,3,1
"10억~15억원 미만","3개월~6개월미만",760,276,28,13,47,16,18,25,-,180,8,23,21,20,24,24,27,10
"10억~15억원 미만","6개월~9개월미만",967,280,54,42,66,39,26,29,3,218,7,24,27,29,38,36,41,8
"10억~15억원 미만","9개월~12개월미만",987,307,54,33,42,35,32,24,3,213,11,27,32,30,52,44,32,16
"10억~15억원 미만","12개월~15개월미만",767,262,60,28,44,23,27,13,2,166,8,16,20,20,28,17,24,9
"10억~15억원 미만","15개월~18개월미만",570,193,32,22,39,33,18,7,3,130,5,18,11,14,13,5,22,5
"10억~15억원 미만","18개월~21개월미만",451,138,30,20,25,32,19,9,3,111,7,11,7,7,12,7,11,2
"10억~15억원 미만","21개월~24개월미만",309,114,18,9,15,12,9,5,-,70,3,8,9,6,16,5,10,-
"10억~15억원 미만","24개월이상",338,99,10,8,7,10,10,2,2,101,10,6,18,14,17,17,7,-
"15억~20억원 미만","계",2979,1037,184,73,139,106,88,65,10,668,45,65,67,63,123,127,94,25
"15억~20억원 미만","1개월미만",103,36,8,2,7,4,2,2,-,20,1,2,2,2,6,7,2,-
"15억~20억원 미만","1개월~3개월미만",107,66,2,2,2,-,2,8,-,15,1,2,1,1,-,2,2,1
"15억~20억원 미만","3개월~6개월미만",307,115,16,11,17,9,11,6,1,58,3,7,8,9,13,12,9,2
"15억~20억원 미만","6개월~9개월미만",452,159,20,12,23,11,13,7,-,98,11,10,9,10,26,22,19,2
